"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13"
KLHDC1,9.056577877,8.485358479,8.602528875,8.385011646,7.782946922,8.907766323,8.527917916,8.096965913,7.391569587,8.207882315,6.019249352,8.065795849,8.697386067
ST7L,5.394342202,5.244737504,6.173899442,5.607290463,4.651256004,6.527837844,5.177415777,5.820681025,4.977533808,3.189923893,3.471571784,4.251379058,4.031876645
C2orf15,2.296862984,4.847764706,4.665569087,5.900683628,4.132739362,6.267798018,6.783817848,6.267798018,7.478780431,6.267798018,5.558450829,5.511317784,5.71860871
KCNH8,7.540751912,7.540193771,8.536707849,7.592592881,8.086554257,7.92972685,8.355893223,7.539147296,6.96515224,7.265499075,7.852140798,7.876371976,7.239833502
CADM2,6.943468761,2.643678097,2.853624872,2.853624872,2.259552415,8.897308409,3.991664695,2.387916477,6.402178307,4.351387411,2.922909024,3.890462922,3.667430485
CADM2,9.005131391,3.797823092,3.244438437,5.454378153,3.635375242,10.45943174,5.355283508,2.444141144,7.989742037,8.401293998,7.515042453,7.32828258,6.45975366
C9orf66,2.290729576,2.243914911,2.240090673,2.290729576,2.243914911,2.290729576,3.188034884,2.290729576,2.240090673,2.596486359,2.290729576,2.290729576,2.290729576
HDAC9,2.280025855,4.076389107,2.270057688,2.382900552,2.240090673,4.901959685,2.270057688,2.270057688,3.465912056,2.280025855,2.270057688,2.280025855,3.318934992
HS6ST2,2.41156063,2.712117763,2.41156063,2.910165065,2.910165065,2.871347268,2.278957767,2.62268456,6.080855161,4.044579898,2.928000765,3.677832685,3.194909432
SLC25A27,4.484838055,3.544279566,4.458043019,4.40939,4.030182571,3.647841616,5.182749601,4.780522568,3.88373306,4.003072586,4.153964055,6.53029012,7.654839303
ZNF781,5.30211511,4.136318352,2.240090673,5.070322471,5.43176689,5.424905698,4.756947007,2.409792522,5.068240221,5.528139015,3.622584101,5.057959381,5.885126859
HELB,3.572006576,4.22124871,3.513846916,3.800425772,3.982839225,3.572006576,4.570866091,4.177881272,3.130281223,2.956004463,3.042807249,4.113802772,3.572006576
ZNF547,3.92854706,4.6023279,3.593462187,4.922920886,4.629335,4.85687349,5.624605866,5.365958343,4.383545473,3.071661222,3.132240018,3.311173953,5.24408757
STMN1,2.240090673,2.240090673,2.623151267,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.32537044,2.240090673,2.240090673,2.240090673
SIGLEC10,5.191947294,3.347013222,2.848986366,3.254351041,5.261571209,4.891587779,3.288727315,3.186676839,2.240090673,3.279283166,3.198719029,3.192417472,3.279283166
SENP1,5.972042155,6.288661468,4.695450501,5.80593058,3.959967855,4.451350857,5.113911305,4.097870583,4.731520287,4.695450501,4.48669046,3.855154085,4.824427095
TMX3,3.40111576,3.40111576,5.853395535,3.359675387,4.402741867,3.795838876,3.480740611,2.627010325,3.442002168,4.053890221,4.10486628,6.411954529,3.359675387
ZNF396,3.152714028,3.398404791,2.540501096,3.590253412,4.542685606,2.976230636,4.005386634,4.01386358,3.191575543,2.498179999,2.498179999,2.540501096,3.402678003
DENND1B,2.654728806,2.654728806,2.654728806,2.240090673,2.240090673,2.654728806,2.654728806,2.654728806,2.654728806,2.654728806,2.654728806,2.654728806,2.625877125
RAB42,5.513556951,2.426855853,2.426855853,2.426855853,2.507867639,2.426855853,2.426855853,2.426855853,2.426855853,2.426855853,2.426855853,2.426855853,2.426855853
PTCHD1,3.835982172,2.427937521,2.240090673,2.427937521,4.368343923,2.427937521,4.110408536,2.478491017,6.980994395,4.335623003,7.174121931,6.622044769,5.42283563
SEC16B,5.431990523,3.483967481,2.451101702,2.801231592,2.305853223,2.917247069,4.133540289,4.700778233,3.341197746,2.251995635,2.26534328,2.411870604,2.325148419
KCNG3,2.247279218,2.247279218,2.240090673,4.425496919,2.247279218,2.318712613,2.330754684,2.240090673,5.025292492,4.214377894,2.691766583,2.962280757,3.977293472
SIGLEC11,4.237252292,2.311438428,2.291478236,2.311438428,2.331311864,2.311438428,2.326024544,2.311438428,2.311438428,2.311438428,2.311438428,2.311438428,2.311438428
FIGNL1,3.037840976,2.915498554,2.615609578,2.704425336,3.230420283,4.02241555,3.551753183,3.155429689,3.542493825,2.704425336,2.615609578,2.241155803,2.271926914
PDE8A,5.623266807,5.728315354,5.644590466,5.897999717,4.637140101,6.625192393,5.992210653,5.776628872,4.163621303,4.861051169,4.954641805,5.109976521,4.490444139
GABRG1,2.240090673,2.240090673,2.240090673,2.260159727,2.240090673,2.240090673,2.515931575,2.240090673,2.482151879,2.240090673,2.240090673,2.240090673,2.240090673
C15orf26,6.532795553,3.492678966,2.877834428,4.691441573,2.368865652,4.764249586,3.864157905,5.115931152,3.195418483,3.37112941,2.770648552,2.240090673,3.199459498
ZMYM6,3.54458016,3.491378134,3.54458016,3.54458016,3.52526179,3.942875866,5.134694345,5.03114657,3.522435376,3.614151328,3.421970908,3.399258904,3.47953644
ZMYM6,4.199825733,4.910719845,3.474606369,4.927408672,4.01450288,4.836189067,5.785794153,6.049959363,4.674262583,3.907017324,2.24104312,2.773168254,3.844329322
CNPY3,7.541617129,9.039747807,7.905284601,8.68470789,7.936721565,7.711305202,7.627207706,7.055378541,7.725904195,5.873758219,6.976115163,4.938900735,6.923456163
SCAMP1,9.75811152,10.38267801,8.376434776,10.11188628,8.689284113,10.73833734,10.47096784,10.74618357,9.772467076,8.52307326,5.990933807,6.128608722,8.225377637
LINC00471,3.062099595,3.452670869,3.453619029,2.379080198,3.136660132,3.064973325,3.438358802,4.434911961,3.520381454,3.064973325,3.064973325,3.064973325,2.669662729
C11orf65,3.542272193,2.292465277,2.266727604,2.240090673,2.292465277,2.240090673,3.382861936,4.22669362,2.292465277,2.292465277,2.240090673,2.266727604,2.240090673
SDCCAG8,6.964323671,5.843530038,5.718377686,5.432763851,4.206017705,4.724663926,5.432763851,6.841333194,5.294982625,4.924032007,5.156947905,4.292131064,5.548683705
SYN2,2.314764621,2.287090358,2.314764621,2.314764621,2.314764621,2.314764621,2.314764621,2.314764621,2.314764621,2.314764621,2.314764621,2.314764621,2.284965337
CD300LF,4.791664248,2.323491762,2.323491762,2.323491762,2.378767408,2.323491762,2.323491762,2.323491762,2.323491762,2.368046468,2.323491762,2.323491762,2.323491762
PIP4K2B,6.067061101,6.126879488,3.992064121,6.103601215,4.304768659,4.596542971,5.811537776,5.550262306,5.533204018,4.19490279,4.19490279,4.348410767,5.716995961
DEFB119,2.240090673,7.203977346,7.999388777,2.244209676,2.240090673,5.673426262,2.240090673,2.240090673,2.240090673,2.245956915,2.240090673,2.240090673,2.240090673
TAC4,2.38750517,2.483797112,2.240090673,2.38750517,2.38750517,2.38750517,2.38750517,2.38750517,2.38750517,3.134341007,3.563739008,2.38750517,2.38750517
BCL2L11,4.873055643,5.632028651,4.955267381,5.352818327,4.703842815,4.681919008,4.794794213,4.692157633,4.763403572,4.427770331,4.889395473,6.962747982,5.319412688
CCDC69,5.885110746,4.350718089,2.357723613,5.276415074,6.285085446,4.183513102,6.353107858,2.887850679,7.440618998,6.063664931,7.628025373,7.406384151,6.132532513
DSG2,2.256203557,2.257159454,2.256203557,2.257159454,2.257615455,3.217484505,2.257159454,2.256203557,5.719586341,2.257159454,2.257159454,2.257159454,2.960174187
C5orf24,9.342414484,9.690280978,8.658567557,9.855927756,8.399242454,9.37660609,9.259476357,9.895551552,9.126485883,8.174506247,6.784412098,7.435903332,8.300228638
C5orf24,8.529947823,9.204132384,9.466500002,8.869803721,7.329082006,9.102403084,8.091762777,8.839904766,8.970695654,9.19389007,9.166210104,8.827701865,8.791108211
